Change Component Designator: OldDesignator=Power NewDesignator=Reset
Change Component Designator: OldDesignator=R? NewDesignator=
Change Component Designator: OldDesignator=R? NewDesignator=
Change Component Designator: OldDesignator=R? NewDesignator=
Change Component Designator: OldDesignator=R? NewDesignator=
Change Component Designator: OldDesignator=R? NewDesignator=
Change Component Designator: OldDesignator=R? NewDesignator=
Change Component Designator: OldDesignator=R? NewDesignator=
Change Component Designator: OldDesignator=R? NewDesignator=
Change Component Designator: OldDesignator=R? NewDesignator=
Change Component Designator: OldDesignator=R? NewDesignator=
